N,D,sigma,tau,omega,Cp*
4,1,0.18,0.1800,0.466667,0.57279
3,1,0.18,0.1800,0.466667,0.566067
2,1,0.72,0.1800,0.333333,0.561904
4,2,0.54,0.1500,0.400000,0.56159
4,2,0.72,0.1800,0.333333,0.561037
4,1,0.18,0.1500,0.500000,0.55654
2,1,0.54,0.1800,0.400000,0.554994
4,2,0.54,0.1800,0.400000,0.554994
3,1,0.72,0.1800,0.433333,0.554081
2,1,0.18,0.1800,0.466667,0.553928
4,2,0.18,0.1800,0.466667,0.553928
2,2,0.18,0.1800,0.466667,0.552958
3,3,0.18,0.1800,0.466667,0.552958
4,4,0.18,0.1800,0.466667,0.552958
4,3,0.18,0.1800,0.466667,0.551634
3,4,0.18,0.1500,0.466667,0.551387
4,1,0.18,0.2100,0.466667,0.55137
2,2,0.26,0.1800,0.400000,0.551282
3,3,0.26,0.1800,0.400000,0.551282
4,4,0.26,0.1800,0.400000,0.551282
3,1,0.18,0.1500,0.500000,0.550257
2,2,0.18,0.1500,0.500000,0.549713
3,3,0.18,0.1500,0.500000,0.549713
4,4,0.18,0.1500,0.500000,0.549713
3,2,0.72,0.1500,0.333333,0.549223
3,4,0.18,0.1500,0.500000,0.549036
3,4,0.18,0.1800,0.466667,0.549018
3,4,0.26,0.1800,0.400000,0.548643
3,2,0.72,0.1800,0.333333,0.548279
2,1,0.54,0.2100,0.400000,0.547892
4,2,0.54,0.2100,0.400000,0.547892
4,2,0.72,0.2100,0.333333,0.54729
2,2,0.26,0.2100,0.400000,0.547238
3,3,0.26,0.2100,0.400000,0.547238
4,4,0.26,0.2100,0.400000,0.547238
2,2,0.26,0.1500,0.433333,0.546971
3,3,0.26,0.1500,0.433333,0.546971
4,4,0.26,0.1500,0.433333,0.546971
2,1,0.54,0.1500,0.466667,0.546939
2,3,0.18,0.1500,0.466667,0.546939
2,2,0.26,0.1800,0.433333,0.546914
3,3,0.26,0.1800,0.433333,0.546914
4,4,0.26,0.1800,0.433333,0.546914
3,2,0.54,0.1500,0.400000,0.546587
3,2,0.54,0.1800,0.400000,0.545968
3,1,0.18,0.2100,0.466667,0.544563
2,1,0.54,0.1500,0.500000,0.544296
2,3,0.18,0.1500,0.500000,0.544296
3,4,0.26,0.1500,0.400000,0.543989
4,3,0.54,0.1500,0.400000,0.543966
2,2,0.18,0.1500,0.466667,0.543812
3,3,0.18,0.1500,0.466667,0.543812
4,4,0.18,0.1500,0.466667,0.543812
4,3,0.72,0.1500,0.333333,0.543583
2,3,0.18,0.1800,0.466667,0.543257
4,3,0.54,0.1800,0.400000,0.542885
4,3,0.18,0.1500,0.500000,0.542743
3,4,0.26,0.2100,0.400000,0.54269
3,1,0.54,0.1800,0.400000,0.542546
4,1,0.18,0.1800,0.500000,0.542486
3,4,0.18,0.1800,0.433333,0.542281
3,2,0.18,0.1800,0.466667,0.542188
3,4,0.26,0.1500,0.433333,0.542139
2,2,0.18,0.1800,0.500000,0.541682
3,3,0.18,0.1800,0.500000,0.541682
4,4,0.18,0.1800,0.500000,0.541682
2,3,0.26,0.1800,0.400000,0.541392
3,4,0.18,0.1800,0.500000,0.540321
3,4,0.26,0.1800,0.433333,0.540101
3,2,0.54,0.1200,0.433333,0.539986
4,3,0.26,0.1800,0.433333,0.539968
4,3,0.72,0.1800,0.333333,0.539284
2,2,0.36,0.1800,0.366667,0.538988
3,3,0.36,0.1800,0.366667,0.538988
4,4,0.36,0.1800,0.366667,0.538988
2,1,0.18,0.1500,0.500000,0.538746
4,2,0.18,0.1500,0.500000,0.538746
2,3,0.26,0.1500,0.400000,0.538494
2,2,0.36,0.2100,0.366667,0.538432
3,3,0.36,0.2100,0.366667,0.538432
4,4,0.36,0.2100,0.366667,0.538432
3,2,0.54,0.1200,0.400000,0.538265
2,2,0.18,0.2100,0.466667,0.537706
3,3,0.18,0.2100,0.466667,0.537706
4,4,0.18,0.2100,0.466667,0.537706
3,2,0.54,0.2100,0.400000,0.537562
2,3,0.18,0.1800,0.433333,0.536626
2,2,0.54,0.1200,0.433333,0.53615
3,3,0.54,0.1200,0.433333,0.53615
4,3,0.54,0.1200,0.433333,0.53615
4,4,0.54,0.1200,0.433333,0.53615
3,1,0.18,0.1800,0.500000,0.536062
3,4,0.18,0.1200,0.500000,0.535872
2,3,0.26,0.1500,0.433333,0.53578
2,2,0.18,0.1500,0.533333,0.535614
3,3,0.18,0.1500,0.533333,0.535614
4,4,0.18,0.1500,0.533333,0.535614
2,3,0.18,0.1800,0.500000,0.535528
3,4,0.18,0.1500,0.533333,0.535366
2,3,0.26,0.2100,0.400000,0.53515
2,2,0.26,0.2100,0.433333,0.53488
3,3,0.26,0.2100,0.433333,0.53488
4,4,0.26,0.2100,0.433333,0.53488
3,2,0.72,0.2100,0.333333,0.534488
3,4,0.18,0.2100,0.466667,0.534321
4,3,0.18,0.1800,0.500000,0.53396
4,3,0.18,0.2100,0.466667,0.533836
2,3,0.26,0.1800,0.433333,0.533806
2,3,0.18,0.1200,0.500000,0.533453
3,4,0.18,0.1200,0.533333,0.533028
2,1,0.18,0.2100,0.466667,0.53259
4,2,0.18,0.2100,0.466667,0.53259
4,3,0.54,0.2100,0.400000,0.532213
3,2,0.26,0.1800,0.433333,0.532176
3,4,0.18,0.2100,0.433333,0.532142
3,4,0.26,0.2100,0.433333,0.531288
2,1,0.54,0.1500,0.533333,0.530792
2,3,0.18,0.1500,0.533333,0.530792
2,1,0.54,0.1500,0.433333,0.530631
2,3,0.18,0.1500,0.433333,0.530631
2,3,0.18,0.1200,0.533333,0.52999
2,2,0.18,0.1200,0.533333,0.529429
3,3,0.18,0.1200,0.533333,0.529429
4,4,0.18,0.1200,0.533333,0.529429
3,1,0.54,0.1500,0.400000,0.529152
2,3,0.18,0.2100,0.466667,0.528866
2,4,0.18,0.1500,0.466667,0.528395
2,4,0.18,0.1500,0.500000,0.527997
3,2,0.18,0.1500,0.500000,0.527443
2,3,0.18,0.2100,0.433333,0.527092
3,4,0.36,0.1800,0.366667,0.526025
2,3,0.26,0.2100,0.433333,0.525985
2,2,0.54,0.1500,0.400000,0.525632
3,3,0.54,0.1500,0.400000,0.525632
4,4,0.54,0.1500,0.400000,0.525632
3,4,0.36,0.2100,0.366667,0.525405
2,1,0.18,0.1800,0.500000,0.524733
4,2,0.18,0.1800,0.500000,0.524733
3,1,0.72,0.1800,0.400000,0.524416
4,3,0.18,0.1500,0.533333,0.524408
2,2,0.26,0.1500,0.400000,0.524194
3,3,0.26,0.1500,0.400000,0.524194
4,4,0.26,0.1500,0.400000,0.524194
4,3,0.72,0.2100,0.333333,0.523764
2,4,0.18,0.1800,0.466667,0.523562
3,2,0.54,0.1500,0.366667,0.522799
4,3,0.54,0.1500,0.366667,0.522565
3,4,0.18,0.2100,0.500000,0.522538
2,1,0.54,0.1800,0.366667,0.522329
4,2,0.54,0.1800,0.366667,0.522329
2,2,0.26,0.1500,0.466667,0.521942
3,3,0.26,0.1500,0.466667,0.521942
4,4,0.26,0.1500,0.466667,0.521942
4,1,0.18,0.1500,0.533333,0.521815
4,3,0.26,0.2100,0.433333,0.521701
2,2,0.18,0.2100,0.433333,0.521649
3,3,0.18,0.2100,0.433333,0.521649
4,4,0.18,0.2100,0.433333,0.521649
2,4,0.18,0.1200,0.500000,0.521263
3,2,0.18,0.2100,0.466667,0.521068
3,2,0.54,0.1800,0.366667,0.520444
3,4,0.18,0.1200,0.566667,0.520231
2,2,0.54,0.1800,0.400000,0.520159
4,4,0.54,0.1800,0.400000,0.520159
2,2,0.18,0.2100,0.500000,0.519524
3,3,0.18,0.2100,0.500000,0.519524
4,4,0.18,0.2100,0.500000,0.519524
2,3,0.18,0.2100,0.500000,0.518987
3,4,0.26,0.1500,0.466667,0.518762
4,3,0.54,0.1800,0.366667,0.518544
2,4,0.18,0.1800,0.500000,0.51854
3,4,0.18,0.1800,0.533333,0.518127
2,4,0.18,0.1200,0.533333,0.518124
4,3,0.26,0.1500,0.433333,0.51793
2,3,0.26,0.1200,0.433333,0.517752
2,3,0.36,0.1800,0.366667,0.51765
3,3,0.54,0.1800,0.366667,0.51765
2,2,0.18,0.1800,0.533333,0.517392
3,3,0.18,0.1800,0.533333,0.517392
4,4,0.18,0.1800,0.533333,0.517392
3,4,0.36,0.1500,0.366667,0.517257
2,2,0.54,0.1200,0.400000,0.517051
3,3,0.54,0.1200,0.400000,0.517051
4,3,0.54,0.1200,0.400000,0.517051
4,4,0.54,0.1200,0.400000,0.517051
2,4,0.26,0.1800,0.400000,0.516846
2,3,0.18,0.1200,0.566667,0.516627
2,3,0.36,0.2100,0.366667,0.516585
2,4,0.18,0.1500,0.533333,0.516444
2,2,0.54,0.2100,0.433333,0.516152
3,3,0.54,0.2100,0.433333,0.516152
4,4,0.54,0.2100,0.433333,0.516152
2,1,0.54,0.2100,0.366667,0.516072
4,2,0.54,0.2100,0.366667,0.516072
3,1,0.18,0.1500,0.533333,0.516019
2,2,0.18,0.1200,0.566667,0.515845
3,3,0.18,0.1200,0.566667,0.515845
4,4,0.18,0.1200,0.566667,0.515845
2,4,0.26,0.1500,0.400000,0.515641
2,4,0.18,0.1800,0.433333,0.514834
2,4,0.18,0.1500,0.433333,0.514789
3,2,0.54,0.2100,0.366667,0.514091
2,4,0.26,0.1500,0.433333,0.514056
3,2,0.18,0.1800,0.500000,0.513969
2,3,0.18,0.1800,0.533333,0.513893
3,4,0.26,0.1200,0.466667,0.513847
2,2,0.26,0.1200,0.466667,0.513669
3,3,0.26,0.1200,0.466667,0.513669
4,4,0.26,0.1200,0.466667,0.513669
2,3,0.26,0.1500,0.466667,0.513375
4,3,0.18,0.1200,0.533333,0.513261
4,3,0.26,0.1500,0.466667,0.513192
3,4,0.18,0.1500,0.433333,0.513073
3,2,0.36,0.1500,0.533333,0.512439
2,4,0.26,0.1800,0.433333,0.511827
2,4,0.18,0.1200,0.466667,0.511762
3,4,0.18,0.1500,0.566667,0.511745
4,3,0.36,0.1500,0.533333,0.51116
2,2,0.18,0.1200,0.500000,0.510969
3,3,0.18,0.1200,0.500000,0.510969
4,4,0.18,0.1200,0.500000,0.510969
3,2,0.26,0.2100,0.433333,0.510683
2,3,0.36,0.1500,0.366667,0.510526
2,2,0.54,0.2100,0.400000,0.510505
3,3,0.54,0.2100,0.400000,0.510505
4,4,0.54,0.2100,0.400000,0.510505
2,2,0.36,0.1500,0.400000,0.510255
3,3,0.36,0.1500,0.400000,0.510255
4,4,0.36,0.1500,0.400000,0.510255
2,3,0.26,0.1200,0.466667,0.51009
2,4,0.18,0.2100,0.466667,0.509694
2,2,0.18,0.1500,0.566667,0.50969
3,3,0.18,0.1500,0.566667,0.50969
4,4,0.18,0.1500,0.566667,0.50969
2,4,0.26,0.2100,0.400000,0.509368
4,3,0.54,0.2100,0.366667,0.509003
4,3,0.36,0.1800,0.400000,0.508913
4,3,0.36,0.2100,0.366667,0.508644
4,1,0.18,0.2100,0.500000,0.508539
2,2,0.72,0.1500,0.333333,0.508106
3,3,0.72,0.1500,0.333333,0.508106
4,4,0.72,0.1500,0.333333,0.508106
2,1,0.54,0.1500,0.566667,0.50772
2,3,0.18,0.1500,0.566667,0.50772
3,2,0.36,0.1800,0.500000,0.50768
4,3,0.36,0.1800,0.500000,0.507566
2,2,0.26,0.1800,0.466667,0.507312
3,3,0.26,0.1800,0.466667,0.507312
4,4,0.26,0.1800,0.466667,0.507312
2,2,0.36,0.1500,0.533333,0.507223
3,3,0.36,0.1500,0.533333,0.507223
4,4,0.36,0.1500,0.533333,0.507223
2,2,0.36,0.1800,0.400000,0.506869
3,3,0.36,0.1800,0.400000,0.506869
4,4,0.36,0.1800,0.400000,0.506869
2,3,0.18,0.1200,0.466667,0.506621
4,3,0.18,0.2100,0.500000,0.506489
2,4,0.18,0.1200,0.566667,0.506316
2,1,0.18,0.1500,0.533333,0.505817
4,2,0.18,0.1500,0.533333,0.505817
2,4,0.18,0.2100,0.500000,0.505501
4,1,0.18,0.1200,0.533333,0.505458
2,4,0.26,0.2100,0.433333,0.50535
4,3,0.36,0.1200,0.566667,0.50523
3,4,0.26,0.1800,0.466667,0.505219
3,4,0.26,0.1200,0.433333,0.504565
3,2,0.26,0.1500,0.466667,0.504482
3,2,0.36,0.1800,0.400000,0.504297
4,3,0.36,0.1800,0.366667,0.503977
2,4,0.26,0.1200,0.433333,0.503856
3,2,0.36,0.1200,0.566667,0.503845
4,3,0.36,0.1500,0.400000,0.503637
2,4,0.18,0.2100,0.433333,0.503557
3,2,0.36,0.1500,0.500000,0.503145
3,1,0.18,0.2100,0.500000,0.502747
2,2,0.72,0.1800,0.333333,0.502672
4,4,0.72,0.1800,0.333333,0.502672
4,3,0.18,0.1800,0.533333,0.502649
2,2,0.54,0.1500,0.366667,0.502616
3,3,0.54,0.1500,0.366667,0.502616
4,4,0.54,0.1500,0.366667,0.502616
4,3,0.36,0.1500,0.500000,0.501936
2,4,0.18,0.1800,0.533333,0.501877
2,2,0.18,0.1800,0.433333,0.501095
3,3,0.18,0.1800,0.433333,0.501095
4,4,0.18,0.1800,0.433333,0.501095
4,3,0.36,0.1800,0.466667,0.501059
4,3,0.18,0.1200,0.566667,0.500878
3,1,0.54,0.2100,0.400000,0.500805
2,2,0.36,0.2100,0.400000,0.500803
3,3,0.36,0.2100,0.400000,0.500803
4,4,0.36,0.2100,0.400000,0.500803
2,3,0.26,0.1800,0.466667,0.500127
2,2,0.36,0.1800,0.500000,0.499811
3,3,0.36,0.1800,0.500000,0.499811
4,4,0.36,0.1800,0.500000,0.499811
